State,State Name,County,County Name,NAICS,NAICS Description,Enterprise Size,Firms,Establishments,Employment,Employment Noise Flag,"Annual Payroll
($1,000)",Annual Payroll Noise Flag
1,Alabama,65,Hale,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,10,10,45,H,650,G
1,Alabama,67,Henry,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,27,27,135,H,"2,472",H
1,Alabama,69,Houston,713,"Amusement, Gambling, and Recreation Industries",1: Total,30,30,520,G,"10,415",H
1,Alabama,69,Houston,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,114,114,"1,047",G,"23,160",G
1,Alabama,71,Jackson,713,"Amusement, Gambling, and Recreation Industries",1: Total,6,6,6,J,241,H
1,Alabama,71,Jackson,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,50,50,295,H,"5,206",H
1,Alabama,73,Jefferson,713,"Amusement, Gambling, and Recreation Industries",1: Total,135,153,"3,494",G,"73,306",G
1,Alabama,73,Jefferson,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,931,937,"10,276",G,"362,307",G
1,Alabama,75,Lamar,713,"Amusement, Gambling, and Recreation Industries",1: Total,3,3,1,G,47,J
1,Alabama,75,Lamar,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,14,14,57,G,973,G
1,Alabama,77,Lauderdale,713,"Amusement, Gambling, and Recreation Industries",1: Total,18,18,299,H,"4,651",H
1,Alabama,77,Lauderdale,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,129,129,741,G,"14,453",G
1,Alabama,79,Lawrence,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,35,35,113,G,"1,991",G
1,Alabama,81,Lee,713,"Amusement, Gambling, and Recreation Industries",1: Total,28,28,540,H,"9,836",H
1,Alabama,81,Lee,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,141,141,"1,041",G,"25,143",G
1,Alabama,83,Limestone,713,"Amusement, Gambling, and Recreation Industries",1: Total,12,12,91,G,"2,504",G
1,Alabama,83,Limestone,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,86,86,556,G,"11,141",G
1,Alabama,85,Lowndes,713,"Amusement, Gambling, and Recreation Industries",1: Total,3,3,53,G,"1,492",G
1,Alabama,85,Lowndes,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,6,6,15,J,272,J
1,Alabama,87,Macon,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,17,17,89,H,"1,598",H
1,Alabama,89,Madison,713,"Amusement, Gambling, and Recreation Industries",1: Total,95,99,"1,738",G,"31,805",G
1,Alabama,89,Madison,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,373,374,"3,246",G,"81,320",G
1,Alabama,91,Marengo,713,"Amusement, Gambling, and Recreation Industries",1: Total,3,3,25,J,612,J
1,Alabama,91,Marengo,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,30,30,116,G,"1,846",G
1,Alabama,93,Marion,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,27,27,152,G,"4,114",G
1,Alabama,95,Marshall,713,"Amusement, Gambling, and Recreation Industries",1: Total,16,16,282,H,"4,450",H
1,Alabama,95,Marshall,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,87,87,608,G,"11,014",G
1,Alabama,97,Mobile,713,"Amusement, Gambling, and Recreation Industries",1: Total,71,77,861,G,"15,261",G
1,Alabama,97,Mobile,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,445,445,"3,561",G,"79,900",G
1,Alabama,99,Monroe,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,30,30,98,G,"1,736",G
1,Alabama,101,Montgomery,713,"Amusement, Gambling, and Recreation Industries",1: Total,30,38,769,G,"14,976",G
1,Alabama,101,Montgomery,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,346,349,"3,078",G,"116,868",G
1,Alabama,103,Morgan,713,"Amusement, Gambling, and Recreation Industries",1: Total,21,21,219,G,"3,550",G
1,Alabama,103,Morgan,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,140,140,"1,030",G,"22,908",G
1,Alabama,105,Perry,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,10,10,57,H,"1,086",H
1,Alabama,107,Pickens,713,"Amusement, Gambling, and Recreation Industries",1: Total,4,4,6,J,68,J
1,Alabama,107,Pickens,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,21,21,74,J,814,G
1,Alabama,109,Pike,713,"Amusement, Gambling, and Recreation Industries",1: Total,4,4,34,G,506,G
1,Alabama,109,Pike,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,36,36,222,H,"3,725",G
1,Alabama,111,Randolph,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,23,23,105,G,"2,203",H
1,Alabama,113,Russell,713,"Amusement, Gambling, and Recreation Industries",1: Total,3,3,17,G,323,G
1,Alabama,113,Russell,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,60,60,257,G,"5,231",G
1,Alabama,115,St. Clair,713,"Amusement, Gambling, and Recreation Industries",1: Total,13,13,47,H,970,G
1,Alabama,115,St. Clair,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,75,75,442,G,"10,234",G
1,Alabama,117,Shelby,713,"Amusement, Gambling, and Recreation Industries",1: Total,48,52,965,G,"21,402",G
1,Alabama,117,Shelby,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,211,212,"2,642",G,"95,273",G
1,Alabama,119,Sumter,713,"Amusement, Gambling, and Recreation Industries",1: Total,3,3,4,G,65,H
1,Alabama,119,Sumter,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,14,14,44,H,772,G
1,Alabama,121,Talladega,713,"Amusement, Gambling, and Recreation Industries",1: Total,8,8,52,J,"1,649",G
1,Alabama,121,Talladega,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,95,97,362,H,"5,943",G
1,Alabama,123,Tallapoosa,713,"Amusement, Gambling, and Recreation Industries",1: Total,6,10,187,J,"8,110",J
1,Alabama,123,Tallapoosa,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,60,60,298,G,"5,239",G
1,Alabama,125,Tuscaloosa,713,"Amusement, Gambling, and Recreation Industries",1: Total,34,35,465,G,"7,401",H
1,Alabama,125,Tuscaloosa,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,216,216,"1,714",G,"36,079",G
1,Alabama,127,Walker,713,"Amusement, Gambling, and Recreation Industries",1: Total,9,9,80,H,"1,944",J
1,Alabama,127,Walker,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,93,93,429,H,"8,872",G
1,Alabama,129,Washington,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,27,27,69,H,"1,007",G
1,Alabama,131,Wilcox,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,11,11,43,G,479,G
1,Alabama,133,Winston,713,"Amusement, Gambling, and Recreation Industries",1: Total,5,5,10,J,727,H
1,Alabama,133,Winston,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,23,23,82,G,"1,324",G
1,Alabama,999,Statewide Alabama,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,8,8,45,H,"3,376",H
2,Alaska,13,Aleutians East Borough,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,3,3,4,J,117,H
2,Alaska,16,Aleutians West Census Area,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,5,5,15,J,319,H
2,Alaska,20,Anchorage Municipality,713,"Amusement, Gambling, and Recreation Industries",1: Total,106,120,"1,745",G,"35,960",G
2,Alaska,20,Anchorage Municipality,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,386,391,"2,319",G,"106,129",G
2,Alaska,50,Bethel Census Area,713,"Amusement, Gambling, and Recreation Industries",1: Total,7,7,37,G,"1,376",H
2,Alaska,50,Bethel Census Area,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,7,7,15,J,584,H
2,Alaska,60,Bristol Bay Borough,713,"Amusement, Gambling, and Recreation Industries",1: Total,6,6,4,J,548,H
2,Alaska,68,Denali Borough,713,"Amusement, Gambling, and Recreation Industries",1: Total,11,11,10,J,"1,827",H
2,Alaska,70,Dillingham Census Area,713,"Amusement, Gambling, and Recreation Industries",1: Total,4,4,0,G,467,G
2,Alaska,70,Dillingham Census Area,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,3,3,4,G,149,H
2,Alaska,90,Fairbanks North Star Borough,713,"Amusement, Gambling, and Recreation Industries",1: Total,48,50,319,G,"5,811",G
2,Alaska,90,Fairbanks North Star Borough,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,99,100,463,G,"16,411",G
2,Alaska,100,Haines Borough,713,"Amusement, Gambling, and Recreation Industries",1: Total,11,11,38,G,"1,788",G
2,Alaska,100,Haines Borough,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,7,7,14,G,345,H
2,Alaska,105,Hoonah-Angoon Census Area,713,"Amusement, Gambling, and Recreation Industries",1: Total,5,5,27,J,"2,770",J
2,Alaska,110,Juneau City and Borough,713,"Amusement, Gambling, and Recreation Industries",1: Total,21,22,187,H,"4,075",G
2,Alaska,110,Juneau City and Borough,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,56,56,442,G,"20,311",G
2,Alaska,122,Kenai Peninsula Borough,713,"Amusement, Gambling, and Recreation Industries",1: Total,62,64,157,G,"6,131",G
2,Alaska,122,Kenai Peninsula Borough,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,100,100,396,G,"12,645",G
2,Alaska,130,Ketchikan Gateway Borough,713,"Amusement, Gambling, and Recreation Industries",1: Total,17,17,25,J,"1,175",G
2,Alaska,130,Ketchikan Gateway Borough,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,23,24,77,H,"1,954",G
2,Alaska,150,Kodiak Island Borough,713,"Amusement, Gambling, and Recreation Industries",1: Total,17,17,21,J,835,H
2,Alaska,150,Kodiak Island Borough,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,22,22,96,H,"2,128",G
2,Alaska,158,Kusilvak Census Area,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,4,5,6,G,162,G
2,Alaska,164,Lake and Peninsula Borough,713,"Amusement, Gambling, and Recreation Industries",1: Total,4,4,0,G,618,G
2,Alaska,164,Lake and Peninsula Borough,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,3,3,10,J,556,H
2,Alaska,170,Matanuska-Susitna Borough,713,"Amusement, Gambling, and Recreation Industries",1: Total,53,54,339,H,"8,238",G
2,Alaska,170,Matanuska-Susitna Borough,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,99,100,448,G,"15,085",G
2,Alaska,180,Nome Census Area,713,"Amusement, Gambling, and Recreation Industries",1: Total,5,5,28,G,293,G
2,Alaska,180,Nome Census Area,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,10,11,22,H,534,H
2,Alaska,185,North Slope Borough,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,7,7,31,H,"1,072",G
2,Alaska,188,Northwest Arctic Borough,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,5,8,21,H,"1,054",G
2,Alaska,195,Petersburg Borough,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,10,10,42,H,911,G
2,Alaska,198,Prince of Wales-Hyder Census Area,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,6,8,28,H,536,G
2,Alaska,220,Sitka City and Borough,713,"Amusement, Gambling, and Recreation Industries",1: Total,11,11,11,J,"1,852",H
2,Alaska,220,Sitka City and Borough,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,15,15,62,G,"1,845",G
2,Alaska,230,Skagway Municipality,713,"Amusement, Gambling, and Recreation Industries",1: Total,3,3,4,J,252,G
2,Alaska,230,Skagway Municipality,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,3,3,24,H,404,G
2,Alaska,240,Southeast Fairbanks Census Area,713,"Amusement, Gambling, and Recreation Industries",1: Total,3,3,1,G,137,J
2,Alaska,240,Southeast Fairbanks Census Area,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,7,7,15,G,302,G
2,Alaska,261,Valdez-Cordova Census Area,713,"Amusement, Gambling, and Recreation Industries",1: Total,25,25,68,J,"2,764",G
2,Alaska,261,Valdez-Cordova Census Area,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,20,20,82,H,"4,131",G
2,Alaska,275,Wrangell City and Borough,713,"Amusement, Gambling, and Recreation Industries",1: Total,5,5,6,J,157,H
2,Alaska,290,Yukon-Koyukuk Census Area,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,4,4,12,J,495,H
2,Alaska,999,Statewide Alaska,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,5,5,9,G,936,H
4,Arizona,1,Apache,713,"Amusement, Gambling, and Recreation Industries",1: Total,3,3,12,J,326,H
4,Arizona,1,Apache,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,25,25,142,H,"4,018",H
4,Arizona,3,Cochise,713,"Amusement, Gambling, and Recreation Industries",1: Total,14,14,90,G,"1,232",H
4,Arizona,3,Cochise,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,114,115,437,G,"9,446",G
4,Arizona,5,Coconino,713,"Amusement, Gambling, and Recreation Industries",1: Total,69,71,"1,171",H,"46,288",G
4,Arizona,5,Coconino,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,148,152,969,G,"30,714",G
4,Arizona,7,Gila,713,"Amusement, Gambling, and Recreation Industries",1: Total,14,17,568,H,"18,218",H
4,Arizona,7,Gila,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,50,50,188,G,"4,392",G
4,Arizona,9,Graham,713,"Amusement, Gambling, and Recreation Industries",1: Total,9,9,49,J,893,H
4,Arizona,9,Graham,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,17,17,56,G,"1,379",H
4,Arizona,11,Greenlee,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,5,5,12,G,130,G
4,Arizona,12,La Paz,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,14,14,27,G,475,H
4,Arizona,13,Maricopa,713,"Amusement, Gambling, and Recreation Industries",1: Total,731,976,"26,430",G,"718,938",G
4,Arizona,13,Maricopa,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,"2,139","2,183","24,199",G,"960,532",G
4,Arizona,15,Mohave,713,"Amusement, Gambling, and Recreation Industries",1: Total,33,36,641,G,"16,698",G
4,Arizona,15,Mohave,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,116,117,681,G,"16,426",G
4,Arizona,17,Navajo,713,"Amusement, Gambling, and Recreation Industries",1: Total,15,16,168,H,"9,671",J
4,Arizona,17,Navajo,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,81,81,432,G,"9,844",G
4,Arizona,19,Pima,713,"Amusement, Gambling, and Recreation Industries",1: Total,173,217,"4,802",G,"135,358",G
4,Arizona,19,Pima,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,650,667,"6,106",G,"194,192",G
4,Arizona,21,Pinal,713,"Amusement, Gambling, and Recreation Industries",1: Total,38,42,738,G,"18,684",G
4,Arizona,21,Pinal,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,146,146,"1,077",H,"28,272",G
4,Arizona,23,Santa Cruz,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,29,29,167,G,"4,958",G
4,Arizona,25,Yavapai,713,"Amusement, Gambling, and Recreation Industries",1: Total,49,54,756,G,"20,953",H
4,Arizona,25,Yavapai,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,193,194,"1,490",G,"46,458",H
4,Arizona,27,Yuma,713,"Amusement, Gambling, and Recreation Industries",1: Total,24,24,486,G,"12,458",H
4,Arizona,27,Yuma,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,89,90,561,G,"13,780",G
4,Arizona,999,Statewide Arizona,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,9,9,70,H,"5,581",H
5,Arkansas,1,Arkansas,713,"Amusement, Gambling, and Recreation Industries",1: Total,9,9,31,G,760,G
5,Arkansas,1,Arkansas,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,30,30,179,G,"3,422",G
5,Arkansas,3,Ashley,713,"Amusement, Gambling, and Recreation Industries",1: Total,3,3,6,G,96,H
5,Arkansas,3,Ashley,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,29,29,122,H,"2,105",G
5,Arkansas,5,Baxter,713,"Amusement, Gambling, and Recreation Industries",1: Total,22,22,124,J,"3,336",H
5,Arkansas,5,Baxter,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,43,43,221,G,"6,411",H
5,Arkansas,7,Benton,713,"Amusement, Gambling, and Recreation Industries",1: Total,61,72,988,G,"22,948",H
5,Arkansas,7,Benton,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,231,235,"2,259",G,"70,199",G
5,Arkansas,9,Boone,713,"Amusement, Gambling, and Recreation Industries",1: Total,7,8,39,J,923,H
5,Arkansas,9,Boone,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,50,50,184,G,"3,822",G
5,Arkansas,11,Bradley,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,18,18,50,H,940,G
5,Arkansas,13,Calhoun,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,7,7,16,J,264,G
5,Arkansas,15,Carroll,713,"Amusement, Gambling, and Recreation Industries",1: Total,7,7,43,J,925,H
5,Arkansas,15,Carroll,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,46,46,172,G,"3,831",G
5,Arkansas,17,Chicot,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,11,11,26,H,481,G
5,Arkansas,19,Clark,713,"Amusement, Gambling, and Recreation Industries",1: Total,3,3,11,G,115,H
5,Arkansas,19,Clark,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,46,46,190,H,"3,390",H
5,Arkansas,21,Clay,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,25,25,63,G,837,G
5,Arkansas,23,Cleburne,713,"Amusement, Gambling, and Recreation Industries",1: Total,9,9,72,H,"2,580",G
5,Arkansas,23,Cleburne,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,39,39,151,G,"2,974",G
5,Arkansas,25,Cleveland,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,7,7,18,J,561,H
5,Arkansas,27,Columbia,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,35,35,166,H,"3,515",G
5,Arkansas,29,Conway,713,"Amusement, Gambling, and Recreation Industries",1: Total,3,3,6,G,176,J
5,Arkansas,29,Conway,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,27,27,105,G,"2,372",G
5,Arkansas,31,Craighead,713,"Amusement, Gambling, and Recreation Industries",1: Total,19,19,293,G,"6,282",G
5,Arkansas,31,Craighead,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,97,97,674,G,"16,548",G
5,Arkansas,33,Crawford,713,"Amusement, Gambling, and Recreation Industries",1: Total,4,4,18,J,397,J
5,Arkansas,33,Crawford,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,46,46,275,J,"5,653",H
5,Arkansas,35,Crittenden,713,"Amusement, Gambling, and Recreation Industries",1: Total,11,11,45,H,"1,433",G
5,Arkansas,35,Crittenden,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,44,44,240,G,"5,886",G
5,Arkansas,37,Cross,713,"Amusement, Gambling, and Recreation Industries",1: Total,4,4,11,J,152,J
5,Arkansas,37,Cross,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,27,27,101,H,"2,103",G
5,Arkansas,39,Dallas,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,14,14,49,G,609,H
